name,2010,2011,2012,2013,2014
Analamanga,22817,14099,6331,7957,5025
Vakinankaratra,5873,5113,5565,8635,4431
Itasy,1737,1442,679,1424,1918
Bongolava,12820,4600,1535,6396,1411
Haute Matsiatra,2276,1980,2229,6218,8850
Amoron'I Mania,2436,1531,1864,4229,4640
Vatovavy Fitovinany,14773,32782,74545,54942,90362
Ihorombe,3214,2624,1866,5907,2676
Atsimo Atsinanana,12311,37850,59386,48030,85842
Atsinanana,26633,61407,80044,41046,79453
Analanjorofo,21277,5867,7657,8191,16974
Alaotra Mangoro,12557,6662,6771,9378,5857
Boeny,29229,12548,23222,27156,11865
Sofia,26959,11058,26146,32747,16772
Betsiboka,13866,5108,9021,18194,6861
Melaky,5909,3277,10307,17381,6306
Atsimo Andrefana,11203,8985,14453,54312,19952
Androy,4833,3857,8232,13796,4775
Anosy,17571,11018,24943,13311,25443
Menabe,7805,3478,9434,22282,12579
Diana,8635,5796,7219,12109,5094
Sava,28469,14844,15670,14584,16193